Model,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.13293051359516617,0.8979591836734694,0.23157894736842105,0.9439324618423622
Random Forest,0.845360824742268,0.8367346938775511,0.841025641025641,0.9182354532978076
XGBoost,0.5308641975308642,0.8775510204081632,0.6615384615384615,0.9381072490898442
